YEAR,QUARTER,ORIGIN,DEST,passengers,seats,load_factor,estimated_revenue
2023,1,HNL,MEM,3.0000000000,1.0000000000,3.0000,1943.26
2023,3,HPN,SBN,9.0000000000,8.0000000000,1.1250,2865.30
2023,1,MHT,LGA,9.0000000000,8.0000000000,1.1250,2810.52
2023,3,SBN,HPN,9.0000000000,8.0000000000,1.1250,2576.76
2024,3,LIT,MOB,51.0000000000,50.0000000000,1.0200,16771.71
2022,4,XNA,LYH,178.0000000000,177.0000000000,1.0056,74164.38
2022,4,HOU,MOB,187.0000000000,186.0000000000,1.0054,92689.67
2024,2,FAR,BWI,187.0000000000,186.0000000000,1.0054,53378.65
2024,1,FSD,DAL,180.0000000000,180.0000000000,1.0000,201295.80
2024,4,JFK,LNK,189.0000000000,189.0000000000,1.0000,106785.00
2022,4,BOI,JAC,256.0000000000,256.0000000000,1.0000,88704.00
2024,3,PDX,AGS,194.0000000000,194.0000000000,1.0000,85453.16
2024,2,DTW,CRP,287.0000000000,287.0000000000,1.0000,85346.07
2023,2,IND,COS,322.0000000000,322.0000000000,1.0000,75258.62
2024,3,SAN,BHM,234.0000000000,234.0000000000,1.0000,75059.40
2023,3,YUM,ABI,150.0000000000,150.0000000000,1.0000,74550.00
2024,3,PHF,LSE,150.0000000000,150.0000000000,1.0000,73275.00
2022,2,PHX,ALB,190.0000000000,190.0000000000,1.0000,72622.00
2022,2,LAS,SJT,190.0000000000,190.0000000000,1.0000,69928.66
2022,3,LAX,DAB,180.0000000000,180.0000000000,1.0000,68776.10
