YEAR,QUARTER,ORIGIN,DEST,passengers,seats,load_factor,estimated_revenue
2022,1,GJT,BRO,0.0000000000,65.0000000000,0.0000,0.00
2022,1,DTW,MOT,0.0000000000,50.0000000000,0.0000,0.00
2022,1,GUC,BIH,0.0000000000,70.0000000000,0.0000,0.00
2022,1,TRI,GSO,0.0000000000,150.0000000000,0.0000,0.00
2022,1,SYR,BTR,0.0000000000,599.0000000000,0.0000,0.00
2022,1,MKE,TYS,0.0000000000,65.0000000000,0.0000,0.00
2022,1,GSO,TYS,0.0000000000,150.0000000000,0.0000,0.00
2022,1,CLT,COS,0.0000000000,76.0000000000,0.0000,0.00
2022,1,ALB,GFK,0.0000000000,149.0000000000,0.0000,0.00
2022,1,MOT,ICT,0.0000000000,50.0000000000,0.0000,0.00
2022,1,MSP,GSP,0.0000000000,76.0000000000,0.0000,0.00
2022,1,GJT,MFE,0.0000000000,65.0000000000,0.0000,0.00
2022,1,GFK,OMA,0.0000000000,149.0000000000,0.0000,0.00
2022,1,PSP,MRY,0.0000000000,50.0000000000,0.0000,0.00
2022,1,COD,BIS,0.0000000000,50.0000000000,0.0000,0.00
2022,1,OAK,JAC,0.0000000000,15.0000000000,0.0000,0.00
2022,1,MKE,LAN,0.0000000000,150.0000000000,0.0000,0.00
2022,1,PDX,CAK,0.0000000000,149.0000000000,0.0000,0.00
2022,1,TLH,SCE,0.0000000000,150.0000000000,0.0000,0.00
2022,1,BUF,GSO,0.0000000000,300.0000000000,0.0000,0.00
